customer_id,company_name,first_name,last_name,email,phone_number,street,city,state,country,postal_code,customer_type,preferred_contact,customer_since
1,,Domenico,Kutch,Rosemary_Kreiger73@hotmail.com,722.815.4251 x5100,15574 Skyline Drive,Henderson,WV,USA,29810,Residential,Email,2020-05-01
2,Krajcik - D'Amore,Dejah,Wintheiser,Jadon_Kiehn15@gmail.com,702.622.0643 x47095,86527 Kallie Bypass,Port Abbieborough,MD,USA,25835,Commercial,Phone,2020-12-22
3,,Milo,Glover-Schiller,Tanner_Bartell@gmail.com,860-299-9530 x683,382 Schinner Junctions,Lake Serenity,AZ,USA,92810,Residential,Email,2021-10-02
4,Abbott - Williamson,Dashawn,Corwin,Ethelyn_Sauer96@yahoo.com,876-482-8851 x80484,74451 Reichert Crossroad,Marjoriecester,MS,USA,09789,Commercial,Phone,2024-05-20
5,Funk Inc,Jacynthe,Gleason,Maxwell.Larkin@hotmail.com,412-732-2193 x3476,56639 Dorris Plains,North Osbornefort,MN,USA,45034,Commercial,Email,2023-02-11
6,Stokes - Bogisich,Gregg,Schimmel-Doyle,Lexie_Kuhlman@yahoo.com,579.846.1987,43067 Auer Unions,Port Tabitha,AK,USA,50457,Commercial,Phone,2022-10-07
7,Zboncak LLC,Adolfo,Stroman,Letha5@yahoo.com,640.765.7647 x629,781 Woodside Road,Fort Melyssa,CT,USA,42737,Commercial,Phone,2022-03-31
8,Wintheiser - Bechtelar,Icie,Price,Cecile76@hotmail.com,(960) 489-4000 x37055,92903 Luettgen Garden,Lake Bobbie,ND,USA,48314,Commercial,Mail,2022-11-14
9,Langosh Group,Kenton,Stamm,Jaylen32@gmail.com,1-895-774-2736 x345,52832 Huel Shoals,Malindaport,SD,USA,98425,Commercial,Phone,2022-07-17
10,,Geovanni,Quigley,Penelope73@gmail.com,(750) 287-4877,128 E Bridge Street,Cheyenne,FL,USA,92457,Residential,Phone,2020-10-11
11,Feest - D'Amore,Korbin,Johnston,Korbin73@gmail.com,1-524-811-2656 x0077,7447 Benjamin Island,Elnoraland,UT,USA,80928,Commercial,Email,2020-12-20
12,"Hansen, Jerde and Padberg",Daniela,Kihn,Jaylan_Kihn@hotmail.com,(629) 531-8918 x2857,35758 N Elm Street,Fort Devonhaven,CO,USA,27447,Commercial,Email,2022-10-04
13,,Eleazar,Fadel,Sabina_Rodriguez@hotmail.com,555-247-4791 x68998,351 St Andrew's Road,North Kolbyfurt,MD,USA,58819,Residential,Email,2021-04-16
14,"Schneider, Prosacco and Kuhic",Pedro,Bartell,Franco.Gerhold72@hotmail.com,1-768-260-3868 x49036,5581 Bruen Lights,Conroycester,MT,USA,59074,Commercial,Mail,2020-03-03
15,Will LLC,Bridgette,Terry,Alvina.Hodkiewicz57@hotmail.com,528-233-8483 x3707,7158 Ferry Road,O'Keefeberg,ND,USA,39698,Commercial,Email,2020-10-20
16,Smith Group,Camylle,Kutch,Maci.Thompson@hotmail.com,1-890-424-7744,902 Grove Street,Keaganchester,NH,USA,01064,Commercial,Email,2023-07-12
17,"Powlowski, Balistreri and Kulas",Charlene,Klein,Tremayne59@yahoo.com,860-420-6586 x26992,61587 Reece Meadow,Robertahaven,UT,USA,85041,Commercial,Email,2023-11-24
18,Kemmer and Sons,Chaya,Wyman,Jaylon_Kunde@gmail.com,426-951-5208 x326,16079 Desmond Spring,Parkermouth,VT,USA,52661,Commercial,Phone,2024-09-10
19,Kerluke - Stoltenberg,Gregoria,Bayer,Jade10@hotmail.com,1-669-251-3070,5289 Osinski Burg,Elmhurst,WA,USA,66466,Commercial,Email,2023-10-03
20,,Luella,Larkin,Ardith.Wisozk@yahoo.com,821-702-5136 x1726,388 Antonio Pike,Littlefort,MA,USA,43228,Residential,Email,2022-09-05
21,"Hahn, Veum and Rohan",German,Goldner,Devyn.Jones@yahoo.com,326-472-7889 x1786,3706 The Maltings,North Gregoria,UT,USA,10824,Commercial,Phone,2023-07-06
22,Murray and Sons,Crystel,Von,Dejuan6@yahoo.com,1-639-311-8099 x86183,3586 Grimes Fork,Mariannefield,CT,USA,29495,Commercial,Phone,2024-06-25
23,,Victor,Stanton,Terrance_Bergstrom@gmail.com,282.708.2932 x00053,99181 Hartmann Street,Coral Springs,NV,USA,38619,Residential,Mail,2021-08-16
