technician_id,first_name,last_name,email,phone_number,certification,hire_date
1,Marty,Cormier,Carol.Kulas67@hotmail.com,1-732-414-1007 x4651,EPA Certified,2021-05-09
2,Aubrey,Hettinger,Elenora.Lehner73@hotmail.com,891-325-5209 x116,EPA Certified,2022-01-16
3,Ayla,Wisozk,Carlotta_Connelly16@hotmail.com,1-490-741-5723,HVAC Certified,2018-07-09
4,Magnus,Jones,Markus11@gmail.com,(332) 832-5187 x620,HVAC Certified,2018-09-05
5,Marisol,Bosco,Ilene_Roob54@hotmail.com,317-922-7357 x0759,NATE Certified,2016-08-19
6,Stephania,Witting,Brooks.Huel@gmail.com,(657) 367-2817 x257,EPA Certified,2021-03-26
7,Ezequiel,Walter,Eric54@hotmail.com,(913) 671-9802 x139,EPA Certified,2022-02-16
8,Gwen,Hessel,Mckenzie.Ledner13@gmail.com,340.759.3910,EPA Certified,2017-11-25
9,Gardner,Gutmann,Darien_Feil73@yahoo.com,1-200-880-7357 x565,EPA Certified,2017-07-17
10,Mustafa,Kovacek,Juliana88@gmail.com,(406) 470-0041 x661,NATE Certified,2016-02-26
11,Elza,Beer,Kelly2@hotmail.com,1-206-723-7826,HVAC Certified,2016-08-23
12,Sabryna,Bauch,Clovis_Dooley@gmail.com,1-480-343-4589 x942,HVAC Certified,2017-04-25
13,Brook,Schoen,Gussie_Pouros@gmail.com,1-206-468-6079,NATE Certified,2016-04-09
14,Lea,Jakubowski-Homenick,Austyn_Smith54@gmail.com,(802) 709-2781,NATE Certified,2018-09-01
15,Augustus,Lowe,Westley_Gerhold@gmail.com,1-319-536-9979,HVAC Certified,2022-12-03
16,Tia,Quigley,Deontae.Stoltenberg-Morissette10@hotmail.com,(417) 477-9119 x164,EPA Certified,2023-06-20
17,Haylee,Leuschke,Gage_Moen@yahoo.com,1-491-403-2024 x42596,EPA Certified,2024-01-23
18,Paris,Raynor,Talon48@gmail.com,(356) 654-0108 x35137,EPA Certified,2015-09-03
19,Kaden,Howell,Donald24@gmail.com,1-493-665-8755,EPA Certified,2017-11-07
20,Newell,Funk,Jadyn_Hoppe23@hotmail.com,1-248-285-8109 x3116,EPA Certified,2018-05-13
21,Kathleen,Kulas,Mikel20@hotmail.com,439-425-0907 x0454,HVAC Certified,2015-10-14
22,Meta,Kirlin,Lisa.Lesch@yahoo.com,736.874.7852 x05547,EPA Certified,2023-01-10
23,Craig,Howell,Cary26@yahoo.com,615-237-7709 x1566,NATE Certified,2018-12-29
24,Gabriel,Hackett,Melyssa_Hettinger-Hayes@yahoo.com,489.566.1767 x297,NATE Certified,2020-03-24
25,Kali,Farrell,Edythe54@yahoo.com,1-490-422-2368,NATE Certified,2018-10-18
26,Vernon,Reilly,Jamir2@yahoo.com,376-465-5739 x85770,NATE Certified,2021-09-23
27,Hal,O'Connell,Jayda.Wisozk@yahoo.com,(706) 423-5731 x43166,NATE Certified,2021-06-07
28,Jonas,Hermiston,Buford_Hills37@yahoo.com,875-334-3966,NATE Certified,2023-05-03
29,Green,Lebsack,Zelda43@yahoo.com,300.696.1910 x0102,EPA Certified,2021-12-21
30,Sigurd,Jast,Vincenza_Mayert2@gmail.com,335.209.2205 x54044,HVAC Certified,2023-10-21
31,Enrique,Wolff,Zula_Haag@yahoo.com,252-980-8695 x2344,EPA Certified,2020-10-05
32,Virginie,West,Cleora.Carter@yahoo.com,458-766-2613 x7760,EPA Certified,2017-02-24
33,Donny,Zulauf,Lizeth23@hotmail.com,(583) 957-6099 x5011,HVAC Certified,2019-07-08
34,Kaitlin,Turcotte,Keely_Walsh47@yahoo.com,(392) 238-8862 x8317,EPA Certified,2016-01-25
35,Kaelyn,Treutel,Joesph_Klein74@hotmail.com,1-464-837-3524 x91272,NATE Certified,2016-07-15
36,Cooper,Jenkins,Ethan.Koch49@hotmail.com,867.461.6847 x039,HVAC Certified,2021-07-13
37,Kara,Kozey-Legros,Jadon.Graham9@gmail.com,(928) 222-1442 x12381,EPA Certified,2021-06-22
38,Jett,Thompson,Dandre.Walter@gmail.com,898-992-4391 x2825,NATE Certified,2021-02-05
39,Anthony,Kautzer,Jonathon.Price99@yahoo.com,235-289-8949 x89004,NATE Certified,2015-10-02
40,Caleb,Franecki,Greg.Rolfson@hotmail.com,257-405-5104,NATE Certified,2017-04-06
41,Nannie,Wisoky,Jody_Lehner40@gmail.com,658.395.4380,EPA Certified,2019-05-18
42,Evan,Connelly,Kelton_Romaguera@gmail.com,(665) 673-6564 x4832,EPA Certified,2022-07-17
43,Laura,Jacobson,Joshuah.Weissnat87@gmail.com,473-727-7099 x22514,EPA Certified,2024-04-06
44,Maribel,Walker,Audra25@yahoo.com,1-995-731-5116 x043,HVAC Certified,2017-09-03
45,Harmony,Hilll,Amelie_Batz8@gmail.com,1-212-761-8845 x827,NATE Certified,2023-06-14
46,Ladarius,Powlowski-Grant,Mercedes50@yahoo.com,264.693.6450 x3697,EPA Certified,2021-05-27
47,Craig,VonRueden,Madisyn0@gmail.com,(827) 449-8149 x504,HVAC Certified,2023-10-05
48,Benny,Torp,Freida.Grimes87@gmail.com,637.989.3678 x80060,EPA Certified,2015-11-02
49,Nolan,Brakus,Juwan31@gmail.com,951.282.2234 x77295,HVAC Certified,2024-03-14
50,Rod,Cartwright,Imogene88@hotmail.com,484.699.5702 x2640,NATE Certified,2018-12-26
